refseq_gene_id,chromosome_number,chromosome_scaffold,stand,start,end,gene_name,refseq_transcript_id,accession_number,newid,SASS_fdr.clone,SASS_fold.clone
100221996,Z,NC_045027.1,+,58625177,58740165,LOC100221996,XM_032744580.1,DV959859,SB03045B2C07.f1,0.851702521,0.046954197
100224283,19,NC_045017.1,+,4681378,4699447,PRPF8,XM_002197291.4,DV960047,SB03046A2D11.f1,0.753057427,0.017086276
100225688,15,NC_045014.1,-,11580256,11575298,EIF2B1,XM_030285743.2,DV960122,SB03046B1D02.f1,1.358252919,0.004767774
100224482,Z,NC_045027.1,+,65178023,65214338,ZNF366,XM_004177172.4,DV960176,SB03046B2A03.f1,0.652376478,0.022042591
100221096,1A,NC_044999.1,+,70047440,70033190,MRPS35,XM_012569340.3,DV960316,SB03047A1F08.f1,1.284506274,0.040328245
100229916,8,NC_045007.1,+,9214848,9246866,GPBP1L1,XM_030278855.2,DV960486,SB03047B1G01.f1,1.26906427,0.048142815
100220654,21,NC_045019.1,+,3806287,3801693,TNFRSF9,XM_030289621.2,DV960578,SB03047B2G09.f1,1.202511815,0.031671205
100226300,12,NC_045011.1,+,20013586,19917410,WNK2,XM_030283213.2,DV960616,SB03048A1C03.f1,0.617408331,0.020279029
100217590,6,NC_045005.1,+,30742114,30756383,ACADSB,XM_002189454.5,DV960672,SB03048A1H06.f1,1.390695364,0.049221544
100224018,9,NC_045008.1,+,16990533,16943024,ABCC5,XM_030280492.2,DV960769,SB03048B1A03.f1,0.763935645,0.045404776
100220898,8,NC_045007.1,+,27405765,27413603,SEC22B,XM_002192822.4,DV960835,SB03048B1G02.f1,1.297692694,0.038424123
100219634,3,NC_045001.1,+,39270706,39241716,PNISR,XM_030267634.2,DV961181,SB03049B1F04.f1,0.722132783,0.027811953
116808653,8,NC_045007.1,+,18243615,18195470,LOC116808653,XR_004368578.1,DV961233,SB03049B2C03.f1,0.600086132,0.007950602
100232095,24,NC_045022.1,+,3345849,3295258,IGSF9B,XM_030290995.2,DV961255,SB03049B2E03.f1,0.685231156,0.026905468
100232012,2,NC_045000.1,+,10349860,10043489,DIP2C,XM_030264295.2,DV961282,SB03049B2G08.f1,0.827947082,0.040328245
100231523,5,NC_045004.1,+,60629700,60823889,MDGA2,XM_030275313.2,DV961371,SB03050A1H11.f1,1.619506689,0.049391771
100231895,13,NC_045012.1,+,18388617,18407389,REEP2,XM_030283742.2,DV961508,SB03050B1E04.f1,0.544495447,0.016195078
100226592,18,NC_045016.1,+,10702611,10773693,ANKFN1,XM_012578604.3,DV961545,SB03050B1H06.f1,0.803446718,0.036174911
100190299,14,NC_045013.1,+,55225,42847,UBE2I,XM_012577839.3,DV961547,SB03050B1H08.f1,1.277526715,0.038867893
100224679,1,NC_044998.1,+,90220007,90339483,COL4A1,XR_003961865.2,DV961874,SB03051B1F06.f1,0.636407883,0.017485991
115490813,28,NC_045026.1,+,831755,829786,LOC115490813,XR_003956766.2,DV961953,SB03051B2E12.f1,0.484705485,0.003483562
